- https://caci.wd1.myworkdayjobs.com/external/job/US-NY-Rome/Fullstack-Web-Application-Software-Engineer---Entry-Level_316797?utm_source=Simplify&amp;ref=Simplify | CACI | Fullstack Web Application Software Engineer – Entry Level | Rome, NY #score:8
- https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd/application?utm_source=Simplify&amp;ref=Simplify | N1 | New Grad Software Engineer - Backend Rust | Oakland, CA NYC #score:7
- https://www.google.com/about/careers/applications/jobs/results/88714689822761670?utm_source=Simplify&amp;ref=Simplify | 🔥 Google | Software Engineer – Early Career - PhD - Infrastructure 🎓 | 12 locations Madison, WI Seattle, WA Austin, TX LA Raleigh, NC San Bruno, CA Durham, NC Kirkland, WA NYC Sunnyvale, CA Mountain View, CA Atlanta, GA #score:7
- https://jobs.ashbyhq.com/candidhealth/f0e529c1-b8d8-4add-aaef-23b174053b8b/application?utm_source=Simplify&amp;ref=Simplify | Candid Health | Software Engineer New Grad | San Francisco, CA New York, NY Denver, CO #score:7
- https://boeing.wd1.myworkdayjobs.com/external_subsidiary/job/USA---Oklahoma-City-OK/Entry-Level-Software-Engineer-Developer_JR2025470637-1?utm_source=Simplify&amp;ref=Simplify | The Boeing Company | Entry Level Software Engineer-Developer | Oklahoma City, OK #score:6
- https://jobs.ashbyhq.com/ramp/a1229aec-1105-4c47-8533-b912e732ed89/application?utm_source=Simplify&amp;ref=Simplify | 🔥 Ramp | University Grad - Software Engineer - Frontend | NYC #score:6
- https://jobs.ashbyhq.com/n1/73724fe2-9a93-4a60-b349-4fd3d2efa94a?utm_source=Simplify&amp;ref=Simplify | ↳ | New Grad Software Engineer (Full Stack) | New York, NY #score:6
- https://apply.workable.com/trexquant/j/11DC4EA360/apply?utm_source=Simplify&amp;ref=Simplify | Trexquant | Software Engineer – Early Career | Stamford, CT #score:5
- https://jobs.ashbyhq.com/decagon/2a435dd5-1212-42bb-ae5a-d7432902acd2?utm_source=Simplify&amp;ref=Simplify | ↳ | Software Engineer - New Grad 🛂 | San Francisco New York #score:5
- https://jobs.ashbyhq.com/notion/add58865-8b9f-4cf7-9720-2908ba5f4d80/application?utm_source=Simplify&amp;ref=Simplify | 🔥 Notion | Software Engineer – Early Career - Infrastructure | San Francisco, CA New York, NY #score:5
- https://jobs.ashbyhq.com/n1/a3e25c84-0846-454a-b2fc-a356c2a713bd?utm_source=Simplify&amp;ref=Simplify | ↳ | New Grad Software Engineer (Backend Rust) | New York, NY #score:5
